,,Number_of_Annotations,Seq_len,Seq_len,Seq_len
,,count,max,mean,min
non_interested_role_parts_present,Number_of_Annotations,,,,
False,0,4145,17887.0,1042.8451145958986,17.0
False,1,973,9452.0,1078.808838643371,17.0
False,2,283,7210.0,1295.9752650176679,99.0
False,3,42,4749.0,2064.9761904761904,98.0
False,4,15,3271.0,1962.8666666666666,784.0
False,5,7,5773.0,2971.4285714285716,996.0
False,6,4,2836.0,2734.0,2530.0
False,7,4,5772.0,5147.25,4709.0
True,1,199,43865.0,1597.3065326633166,41.0
True,2,199,66854.0,1591.4422110552764,37.0
True,3,110,6622.0,1650.8909090909092,151.0
True,4,70,8995.0,2068.614285714286,442.0
True,5,45,6040.0,2213.0666666666666,297.0
True,6,13,4486.0,2192.3076923076924,961.0
True,7,42,11889.0,1636.8809523809523,491.0
True,8,13,4046.0,2486.846153846154,1159.0
True,9,7,5264.0,3082.5714285714284,1730.0
True,10,10,6971.0,5684.9,2162.0
True,11,1,6027.0,6027.0,6027.0
True,12,3,4037.0,2368.0,1486.0
True,16,2,5957.0,5949.0,5941.0
True,88,1,3603.0,3603.0,3603.0
